,breakfast,lunch,dinner,lateNight
ratty,Ratty Regular,Really Ratty,Ratty Repeat,IMPOSSIBLE
andrews,Andrews All Day,Andrews Ate,Andrews Afficianado,IMPOSSIBLE
vdub,Vigorously V-Dub,Vouch for V-Dub,Vibing at the V-Dub,IMPOSSIBLE
jos,Jo's Dreamin,IMPOSSIBLE,Just Jo's,Jo's Journey
ivy,IMPOSSIBLE,Ivy Madness,Immaculately Ivy,Into the Ivy
